Date,Host,Service,@ably_sno,ably_market_sno,consumer_origin,@price_origin,@consumer_price_adjustment.discount_type,@consumer_price_adjustment.discount_rate,@consumer_price_adjustment.discount_price,@consumer_price_adjustment.started_at,@consumer_price_adjustment.ended_at,Message
"2025-01-13T04:50:51.494Z","ip-172-31-253-104.ap-northeast-2.compute.internal-ably-prod","seller-api","5896749","10910","52000","39800",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:50:48.030Z","ip-172-31-236-92.ap-northeast-2.compute.internal-ably-prod","seller-api","5896748","10910","52000","39800",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:50:45.950Z","ip-172-31-215-156.ap-northeast-2.compute.internal-ably-prod","seller-api","5896747","10910","52000","39800",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:50:43.491Z","ip-172-31-253-104.ap-northeast-2.compute.internal-ably-prod","seller-api","5896746","10910","52000","39800",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:50:42.028Z","ip-172-31-236-92.ap-northeast-2.compute.internal-ably-prod","seller-api","5896744","10910","52000","39800",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:49:50.394Z","ip-172-31-231-180.ap-northeast-2.compute.internal-ably-prod","seller-api","5773737","10910","47900","38900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:49:48.126Z","ip-172-31-235-174.ap-northeast-2.compute.internal-ably-prod","seller-api","5773736","10910","47900","38900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:47:38.746Z","ip-172-31-197-243.ap-northeast-2.compute.internal-ably-prod","seller-api","5626471","10910","56000","41900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:47:36.848Z","ip-172-31-215-156.ap-northeast-2.compute.internal-ably-prod","seller-api","5626469","10910","52000","42900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:47:34.306Z","ip-172-31-253-206.ap-northeast-2.compute.internal-ably-prod","seller-api","5626467","10910","52000","42900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:47:31.723Z","ip-172-31-198-123.ap-northeast-2.compute.internal-ably-prod","seller-api","5626466","10910","52000","42900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:47:12.737Z","ip-172-31-197-243.ap-northeast-2.compute.internal-ably-prod","seller-api","11451035","10910","79000","59800",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:47:10.696Z","ip-172-31-198-123.ap-northeast-2.compute.internal-ably-prod","seller-api","11451024","10910","58000","42900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:47:08.313Z","ip-172-31-253-206.ap-northeast-2.compute.internal-ably-prod","seller-api","11451022","10910","58000","42900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:45:07.388Z","ip-172-31-197-121.ap-northeast-2.compute.internal-ably-prod","seller-api","5250169","10910","54000","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:45:04.338Z","ip-172-31-231-180.ap-northeast-2.compute.internal-ably-prod","seller-api","5250153","10910","44500","39800",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:45:02.698Z","ip-172-31-198-123.ap-northeast-2.compute.internal-ably-prod","seller-api","5250151","10910","44500","39800",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:43:53.558Z","ip-172-31-225-245.ap-northeast-2.compute.internal-ably-prod","seller-api","11102342","10910","49800","36000",,,,,,"vendor_seller_update_goods"
